n,h_100Hz,h_330Hz,h_1kHz,h_3_3kHz,h_10kHz
-8.510000000000000000e+02,3.897858720987288131e-05,-8.104223566794484961e-05,4.551093219939536316e-05,3.965106071653047381e-05,-4.309834445785387544e-05
-8.500000000000000000e+02,3.831725816856423043e-05,-8.273857718996358241e-05,6.238731845988824531e-05,2.540100627750483523e-05,-4.336700571599372517e-05
-8.490000000000000000e+02,3.761025882961559831e-05,-8.401638412879462617e-05,7.738883048265029888e-05,-2.367395115452778823e-05,-7.308754028943490422e-06
-8.480000000000000000e+02,3.685768447380409539e-05,-8.485311654867283494e-05,8.925432625174820186e-05,-7.658298680487264480e-05,3.532409262799318249e-05
-8.470000000000000000e+02,3.605967594809564113e-05,-8.522956646755102804e-05,9.696717928193675771e-05,-9.669605761792509019e-05,4.889876885544371940e-05
-8.460000000000000000e+02,3.521642019978436750e-05,-8.513007515323088082e-05,9.985194961938231840e-05,-7.161684676960811276e-05,2.167855210367231446e-05
-8.450000000000000000e+02,3.432815077115174899e-05,-8.454272159785948667e-05,9.764060961288040567e-05,-2.338083041522406196e-05,-2.404520837094861280e-05
-8.440000000000000000e+02,3.339514825344931990e-05,-8.345948009168593083e-05,9.050175348454925597e-05,9.762369170140467378e-06,-5.019979081645311241e-05
-8.430000000000000000e+02,3.241774069903559911e-05,-8.187634506737835778e-05,7.902960061662164196e-05,5.056630401046672001e-06,-3.462762664932555529e-05
-8.420000000000000000e+02,3.139630399053383814e-05,-7.979342165662092821e-05,6.419332485667706768e-05,-2.594722097910550507e-05,1.015101378851553085e-05
-8.410000000000000000e+02,3.033126216590097571e-05,-7.721498068894661819e-05,4.725096183713343474e-05,-4.735727624334764186e-05,4.699003292925984620e-05
-8.400000000000000000e+02,2.922308769834011406e-05,-7.414947716648316286e-05,2.963551496784857966e-05,-2.963551496784637738e-05,4.492638946814083974e-05
-8.390000000000000000e+02,2.807230173001892511e-05,-7.060953156495302578e-05,1.282357846999766766e-05,2.451588680682157450e-05,5.197764558114859356e-06
-8.380000000000000000e+02,2.687947425859434894e-05,-6.661187363818496434e-05,-1.801438612584435909e-06,8.092153127294294938e-05,-3.938769328076788452e-05
-8.370000000000000000e+02,2.564522427558731463e-05,-6.217724873775167991e-05,-1.307874729861997737e-05,1.011489215781533502e-04,-5.153814981736900755e-05
-8.360000000000000000e+02,2.437021985568745339e-05,-5.733028699822783096e-05,-2.018006112472690264e-05,7.380375186098858654e-05,-2.066362359372131310e-05
-8.350000000000000000e+02,2.305517819611106723e-05,-5.209933607890927381e-05,-2.268939422742572755e-05,2.381953374671200974e-05,2.791401836351192439e-05
-8.340000000000000000e+02,2.170086560518454444e-05,-4.651625849166966505e-05,-2.064493046040152778e-05,-8.260309631548826766e-06,5.372063297843547515e-05
-8.330000000000000000e+02,2.030809743936394987e-05,-4.061619487872779809e-05,-1.453857541627599700e-05,4.106415728288848044e-18,3.484667285563573542e-05
-8.320000000000000000e+02,1.887773798795646998e-05,-3.443729493051280116e-05,-5.272714819829016564e-06,3.429403582860719870e-05,-1.346176406622185265e-05
-8.310000000000000000e+02,1.741070030485450236e-05,-2.802041794930381383e-05,5.922291146529782576e-06,5.579223999291292309e-05,-5.110481349499339758e-05
-8.300000000000000000e+02,1.590794598664266966e-05,-2.140880536603413892e-05,1.760262156198294574e-05,3.430744155416617783e-05,-4.640920373675765093e-05
-8.290000000000000000e+02,1.437048489649623440e-05,-1.464772780248928288e-05,2.824716641683121512e-05,-2.519863184323960955e-05,-2.771291667598558367e-06
-8.280000000000000000e+02,1.279937483333733626e-05,-7.784109536425955515e-06,3.640284238616555096e-05,-8.516110782466786155e-05,4.374300014159093324e-05
-8.270000000000000000e+02,1.119572114577124061e-05,-8.661334700415305830e-07,4.082552031812814515e-05,-1.053546503784779829e-04,5.419954238462012093e-05
-8.260000000000000000e+02,9.560676290386193628e-06,6.057170079602629839e-06,4.060326867092662923e-05,-7.560026645553003866e-05,1.937915141461458936e-05
-8.250000000000000000e+02,7.895439334053017060e-06,1.293634725869619865e-05,3.525010298053154881e-05,-2.396131605338041025e-05,-3.212057351990035766e-05
-8.240000000000000000e+02,6.201255399919587165e-06,1.972195355209321204e-05,2.476104331418578394e-05,6.679658186708973687e-06,-5.736391045290755683e-05
-8.230000000000000000e+02,4.479415056862549986e-06,2.636499185430146017e-05,9.622789279145855872e-06,-5.600056881223527483e-06,-3.486713930908633770e-05
-8.220000000000000000e+02,2.731253652208961772e-06,3.281735183654056840e-05,-9.221591681545743898e-06,-4.345586650450981023e-05,1.712885269730602650e-05
-8.210000000000000000e+02,9.581505876141016383e-07,3.903224664677472220e-05,-3.045127776300119522e-05,-6.497476831507809514e-05,5.543564884369045996e-05
-8.200000000000000000e+02,-8.384714619617133955e-07,4.496464295114020959e-05,-5.248283020492977612e-05,-3.942756891890681758e-05,4.778422763465810046e-05
-8.190000000000000000e+02,-2.657147386170021205e-06,5.057168033270753599e-05,-7.361156633083212148e-05,2.569703338429745401e-05,-2.843560852709437495e-18
-8.180000000000000000e+02,-4.496370534006536447e-06,5.581307610729649963e-05,-9.216628838999414795e-05,8.924236876602271995e-05,-4.839278594931854620e-05
-8.170000000000000000e+02,-6.354593665220037455e-06,6.065151169638735530e-05,-1.066630704827251845e-04,1.092227805784384126e-04,-5.685662812688055189e-05
